,assists,creeps_stacked,deaths,denies,duration,hero_damage,kills,last_hits,levels,name,net,obs_placed,sen_placed,tower_damage,xpm
326,5,18.191974595842957,23,15,21.8,9194.0,3,321,47,OG,18943.0,13.504618937644342,19.03002309468822,436.0,1185
327,36,18.191974595842957,3,31,21.8,37027.0,23,460,63,Team Liquid,45025.0,13.504618937644342,19.03002309468822,3636.0,2245
328,45,18.191974595842957,20,26,25.2,81486.7612757732,28,406,70,Evil Geniuses,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,2289
329,49,18.191974595842957,28,22,25.2,81486.7612757732,20,303,62,Team Liquid,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,1721
330,43,18.191974595842957,23,31,40.6,81486.7612757732,23,597,80,Evil Geniuses,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,1809
331,55,18.191974595842957,24,44,40.6,81486.7612757732,21,702,86,Team Liquid,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,2119
332,60,21.0,15,48,34.44,86458.0,25,863,96,Nigma Galaxy,76230.0,16.0,28.0,25767.0,2579
333,35,50.0,25,53,34.44,76561.0,14,889,86,PSG.LGD,52615.0,16.0,29.0,38.0,2122
334,52,43.0,10,33,35.17,83859.0,25,956,104,Fnatic,80352.0,17.0,32.0,27058.0,2922
335,21,30.0,25,29,35.17,46145.0,10,849,85,Thunder Awaken,55065.0,16.0,28.0,2362.0,2066
336,32,18.191974595842957,37,57,52.34,81486.7612757732,18,837,88,Evil Geniuses,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,1658
337,82,18.191974595842957,19,48,52.34,81486.7612757732,37,1044,103,Fnatic,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,2228
338,60,41.0,29,24,41.49,113388.0,22,927,113,OG,85473.0,20.0,38.0,25133.0,2928
339,63,28.0,22,32,41.49,134762.0,29,1083,109,PSG.LGD,68500.0,20.0,39.0,3603.0,2637
340,48,18.0,4,54,31.58,58010.0,24,936,96,Team Secret,81317.0,14.0,7.0,22455.0,2731
341,14,9.0,25,17,31.58,48698.0,4,735,74,Team Liquid,41669.0,14.0,12.0,296.0,1683
342,31,18.191974595842957,24,25,50.25,34735.0,17,925,84,PSG.LGD,69609.0,13.504618937644342,19.03002309468822,6626.0,1648
343,41,18.191974595842957,17,22,50.25,44023.0,22,1019,92,Evil Geniuses,86864.0,13.504618937644342,19.03002309468822,13096.0,1896
344,59,39.0,33,91,53.35,83397.0,26,1518,119,PSG.LGD,95628.0,24.0,44.0,16606.0,2618
345,75,35.0,26,23,53.35,121776.0,32,1763,130,Team Aster,140008.0,25.0,47.0,32352.0,3033
346,23,18.191974595842957,16,40,64.18,35513.0,12,1456,98,OG,115633.0,13.504618937644342,19.03002309468822,15867.0,1709
347,18,18.191974595842957,13,58,64.18,33419.0,14,1553,104,PSG.LGD,102047.0,13.504618937644342,19.03002309468822,7843.0,1838
